127.0.0.1, 2017-02-25 07:17:46, POST, /COL380/default/user/request_reset_password, HTTP/1.1, 303, 1.231000
127.0.0.1, 2017-02-25 07:17:46, GET, /COL380/default/index, HTTP/1.1, 200, 0.141000
127.0.0.1, 2017-02-25 07:17:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100000
127.0.0.1, 2017-02-25 07:17:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.294000
127.0.0.1, 2017-02-25 07:18:05, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-02-25 07:18:07, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.144000
127.0.0.1, 2017-02-25 07:18:12, GET, /COL380/default/user/register, HTTP/1.1, 200, 0.087000
127.0.0.1, 2017-02-25 07:18:15, GET, /COL380/default/user/request_reset_password, HTTP/1.1, 200, 0.161000
127.0.0.1, 2017-02-25 07:18:18, POST, /COL380/default/user/request_reset_password, HTTP/1.1, 303, 1.210000
127.0.0.1, 2017-02-25 07:18:18, GET, /COL380/default/user/login, HTTP/1.1, 200, 0.079000
127.0.0.1, 2017-02-25 07:18:27, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-02-25 07:18:32, GET, /COL380/default/user/request_reset_password, HTTP/1.1, 200, 0.085000
127.0.0.1, 2017-02-25 07:18:34, POST, /COL380/default/user/request_reset_password, HTTP/1.1, 303, 0.265000
